node_name,node_definition,node_year,data_source,OAIS_Entity,type
Service_continuity,"Continuing to provide an archival service, even with changing institutions, staff or policies.",2020,https://www.nationalarchives.gov.uk,Administration,BooleanSlider
Permited_access,Legal and administrative rights of the digital object.,2020,https://www.nationalarchives.gov.uk,Access,BooleanSlider
System_security,Record is secure against malicious or accidental damage.,2020,https://www.nationalarchives.gov.uk,Storage,BooleanSlider
Provenance,Keeping it the way the records are meant to be.,2020,https://www.nationalarchives.gov.uk,Ingest,BooleanSlider
Findability,Target community can locate record of interest in collection.,2020,https://www.nationalarchives.gov.uk,Access,BooleanSlider
Digital_data_type,Whether the record is born digital or digitised (or a digital surrogate).,2020,https://www.nationalarchives.gov.uk,Data Management,BooleanSlider
Cataloguing,The web tool used to access the catalogue and acquire the records.,2020,https://www.nationalarchives.gov.uk,Ingest,BooleanSlider
Renderability,Target community can access and use the digital object and its content metadata.,2020,https://www.nationalarchives.gov.uk,,BooleanSlider
Technical_metadata,"Includes technical information that applies to any file type, such as information about the software and hardware on which the digital object can be rendered or executed, or checksums and digital signatures to ensure fixity and authenticity.",2020,https://www.nationalarchives.gov.uk,Data Management,BooleanSlider
Content_metadata,"Describes the intellectual entity through properties such as author and title, and supports discovery and delivery of digital content. It may also provide an historic context, by, for example, specifying which print- based material was the original source for a digital derivative (source provenance).",2020,https://www.nationalarchives.gov.uk,Data Management,BooleanSlider
Tools,"Tools to render the digital records, inculding tools to do format migrations and emulations.",2020,https://www.nationalarchives.gov.uk,Preservation Planning,BooleanSlider
Obsolecence,Essential hardware or software required to render the records becoming obsolete.,2020,https://www.nationalarchives.gov.uk,Preservation Planning,BooleanSlider
Physical_disaster,A sudden accident or a natural catastrophe that causes great damage.,2020,https://www.nationalarchives.gov.uk,Storage,BooleanSlider
Economic_political_upheaval,"Economic or political upheaval, for example financial disruption, national recession, change of focus.",2020,https://www.nationalarchives.gov.uk,Administration,BooleanSlider
Technological_upheaval,Change in technology used in digital archiving.,2020,https://www.nationalarchives.gov.uk,Preservation Planning,BooleanSlider
Operating_environment,"The conditions under which the records are stored, including location, environment, security etc.",2020,https://www.nationalarchives.gov.uk,Storage,BooleanSlider
Storage_life,How long the digital record can be stored.,2020,https://www.nationalarchives.gov.uk,Storage,BooleanSlider
Storage_media,"The type of media on which the digital records are stored e.g (hard drive disk, magnetic tape, flash drives).",2020,https://www.nationalarchives.gov.uk,Storage,slider
Institution_type,"Breakdown of the type of institution i.e. education, local, private, national, special....",2020,https://www.nationalarchives.gov.uk,Administration,radiobuttons
Copy_protocol,"The archives policies on copies of the digital record, e.g. number, diversity of storage media, geographical storage locations etc.",2020,https://www.nationalarchives.gov.uk,Access,radiobuttons
Replacement_protocol,Whether or not a storage device is replaced and when.,2020,https://www.nationalarchives.gov.uk,Storage,BooleanSlider
Preservation,The digital record and content metadata are in tact.,2020,https://www.nationalarchives.gov.uk,,BooleanSlider
Processing,Procedures to prepare data and documentation for storage and preservation.,2020,https://www.nationalarchives.gov.uk,Access,BooleanSlider
