node_name,node_state,state_definition
Service_continuity,True,Insert state definition
Service_continuity,False,Insert state definition
Permited_access,True,Insert state definition
Permited_access,False,Insert state definition
System_security,True,Insert state definition
System_security,False,Insert state definition
Provenance,True,Insert state definition
Provenance,False,Insert state definition
Findability,True,Insert state definition
Findability,False,Insert state definition
Digital_data_type,Digitised,Insert state definition
Digital_data_type,Surrogate,Insert state definition
Cataloguing,True,Insert state definition
Cataloguing,False,Insert state definition
Renderability,True,Insert state definition
Renderability,False,Insert state definition
Technical_metadata,True,Insert state definition
Technical_metadata,False,Insert state definition
Content_metadata,True,Insert state definition
Content_metadata,False,Insert state definition
Tools,True,Insert state definition
Tools,False,Insert state definition
Obsolecence,True,Insert state definition
Obsolecence,False,Insert state definition
Physical_disaster,High,Insert state definition
Physical_disaster,Low,Insert state definition
Economic_political_upheaval,True,Insert state definition
Economic_political_upheaval,False,Insert state definition
Technological_upheaval,True,Insert state definition
Technological_upheaval,False,Insert state definition
Operating_environment,True,Insert state definition
Operating_environment,False,Insert state definition
Storage_life,True,Insert state definition
Storage_life,False,Insert state definition
Storage_media,Tape,Insert state definition
Storage_media,SSD,Insert state definition
Storage_media,Optical,Insert state definition
Storage_media,HDD,Insert state definition
Storage_media,Cloud,Insert state definition
Institution_type,Government Central,Insert state definition
Institution_type,Government Local,Insert state definition
Institution_type,Charity,Insert state definition
Institution_type,Private Corporate,Insert state definition
Institution_type,Higher Education,Insert state definition
Copy_protocol,All,Insert state definition
Copy_protocol,Partial,Insert state definition
Copy_protocol,None,Insert state definition
Replacement_protocol,True,Insert state definition
Replacement_protocol,False,Insert state definition
Preservation,True,Insert state definition
Preservation,False,Insert state definition
Processing,True,Insert state definition
Processing,False,Insert state definition
